,PLAYER_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,GP,MIN_PerGame,FGM_PerGame,FGA_PerGame,FG_PCT_PerGame,FG3M_PerGame,FG3A_PerGame,FG3_PCT_PerGame,FTM_PerGame,FTA_PerGame,FT_PCT_PerGame,REB_PerGame,AST_PerGame,TOV_PerGame,STL_PerGame,BLK_PerGame,PTS_PerGame,PLUS_MINUS_PerGame,NBA_FANTASY_PTS_PerGame,OFF_RATING_PerGame,DEF_RATING_PerGame,NET_RATING_PerGame,AST_PCT_PerGame,AST_TO_PerGame,OREB_PCT_PerGame,DREB_PCT_PerGame,TS_PCT_PerGame,USG_PCT_PerGame,PIE_PerGame,PTS_Per100Possessions,PF_Per100Possessions,CONTESTED_SHOTS_Per36,DEFLECTIONS_Per36,CHARGES_DRAWN_Per36,SCREEN_ASSISTS_Per36,LOOSE_BALLS_RECOVERED_Per36,BOX_OUTS_Per36,PCT_STL_PerGame,PCT_BLK_PerGame,PCT_PLUSMINUS_PerGame,POTENTIAL_AST_PerGame,SCO,PLY,REB,DEF,HST,IMP,OVERALL
1,203500,Adams,Steven,1610612745,Houston,Rockets,HOU,12,C,6-11,265,8,22.2,2.5,4.0,0.625,0.0,0.0,0.0,1.8,2.1,0.824,8.9,1.5,1.1,0.9,0.5,6.8,5.1,22.7,116.9,106.5,10.4,0.09,1.33,0.204,0.174,0.684,0.108,0.126,14.5,4.8,9.6,2.0,0.0,3.7,1.4,4.7,0.2,0.25,-0.045,2.5,-0.030822452519810223,-0.7399179416235397,2.259336842718759,0.5376851082992045,0.630165560784012,0.8825028402584889,57.51049548825489
2,1628389,Adebayo,Bam,1610612748,Miami,Heat,MIA,13,C-F,6-9,255,8,30.4,7.0,15.5,0.452,2.0,5.9,0.34,3.9,4.5,0.861,8.1,2.9,2.0,1.0,0.3,19.9,7.8,35.7,117.7,107.5,10.2,0.136,1.44,0.033,0.215,0.569,0.26,0.134,29.3,2.4,6.2,2.5,0.1,2.4,0.6,4.7,0.174,0.2,0.014,3.8,0.48084694468644595,-0.3500603266346366,0.667744859188555,0.0011370107763713222,0.11863877660251052,0.9806919073188864,53.249891721360214
3,1630534,Agbaji,Ochai,1610612761,Toronto,Raptors,TOR,30,G,6-5,215,9,13.9,1.0,2.8,0.36,0.1,1.3,0.083,0.6,0.9,0.625,2.1,0.7,0.3,0.6,0.1,2.7,1.8,7.9,112.6,107.6,5.0,0.057,2.0,0.016,0.129,0.421,0.101,0.029,8.6,5.8,6.8,5.1,0.0,0.0,0.6,1.2,0.278,0.125,-0.007,0.4,-1.856586700131294,-0.9688025994805693,-0.4534324734102037,0.15397139351103412,0.24636917798933233,-0.6868151520221337,41.74690608277249
4,1630583,Aldama,Santi,1610612763,Memphis,Grizzlies,MEM,7,F-C,7-0,215,12,25.8,5.0,10.8,0.465,1.3,4.4,0.302,1.3,2.1,0.6,6.6,2.4,1.4,1.0,0.6,12.6,-3.8,27.4,108.6,116.3,-7.7,0.146,1.71,0.059,0.183,0.539,0.197,0.108,22.0,2.8,6.6,1.6,0.1,0.7,1.0,0.6,0.24,0.35,-0.037,3.9,-0.23240740188951953,-0.23142983103667564,0.521250443780454,0.7318073963160391,-0.05976155384057132,-0.23635055167082736,51.13297928543716
5,1629638,Alexander-Walker,Nickeil,1610612737,Atlanta,Hawks,ATL,7,G,6-5,205,9,30.9,5.9,13.4,0.438,2.0,6.1,0.327,3.8,4.4,0.85,2.6,3.2,2.6,1.0,0.8,17.6,-4.3,28.2,110.4,117.3,-6.9,0.155,1.26,0.018,0.057,0.57,0.245,0.091,26.4,2.8,4.7,4.0,0.3,0.5,1.0,1.2,0.188,0.206,0.054,5.8,0.28719596992848956,-0.10925875638278185,-0.8995028303466761,-0.43845984117190523,0.7478427464525064,-0.4268501360668252,49.301226318284286
6,1628960,Allen,Grayson,1610612756,Phoenix,Suns,PHX,8,G,6-3,198,11,33.8,6.2,13.6,0.453,4.2,9.4,0.447,2.1,2.5,0.821,3.1,4.6,1.9,1.5,0.3,18.6,3.7,32.8,116.5,112.6,3.9,0.199,2.43,0.013,0.077,0.631,0.2,0.106,26.0,3.7,4.2,1.8,0.0,0.0,1.0,0.2,0.215,0.086,0.014,8.4,0.5223989471703608,0.5938111643265156,-0.9356649166534946,-0.08998558067821097,-0.3678669522932981,0.29818942127035475,51.838796050785895
7,1628386,Allen,Jarrett,1610612739,Cleveland,Cavaliers,CLE,31,C,6-9,243,9,26.2,5.7,9.7,0.586,0.0,0.3,0.0,3.7,5.0,0.733,7.7,1.9,1.6,1.4,1.0,15.0,12.0,32.8,124.7,105.6,19.0,0.093,1.21,0.097,0.175,0.632,0.202,0.145,25.8,2.7,10.2,5.3,0.0,3.5,1.4,2.0,0.25,0.36,-0.045,2.4,0.519628033218951,-0.75587265180556,1.1883016483440687,0.8656395995147532,1.1472891266169558,1.5549847057247252,57.738633902501704
8,1630631,Alvarado,Jose,1610612740,New Orleans,Pelicans,NOP,15,G,6-0,179,9,18.5,2.2,5.0,0.444,1.6,3.3,0.467,0.9,1.1,0.8,2.8,2.6,0.6,1.0,0.0,6.9,-3.2,16.5,110.3,117.3,-7.0,0.207,4.6,0.016,0.133,0.628,0.136,0.106,17.8,3.4,0.9,4.6,0.0,0.7,0.4,0.2,0.273,0.0,0.049,4.1,-0.09603589329214862,0.707156218507963,-0.5176186652052982,-0.34703301214645427,-0.4268267974451725,-0.22943403438319232,50.00437160546028
10,203507,Antetokounmpo,Giannis,1610612749,Milwaukee,Bucks,MIL,34,F,6-11,243,10,32.9,12.9,20.5,0.629,0.8,1.6,0.5,6.8,10.8,0.63,11.9,6.2,3.0,0.9,1.3,33.4,6.8,60.6,123.9,115.3,8.7,0.32,2.07,0.122,0.233,0.661,0.353,0.229,47.3,3.7,6.5,2.5,0.0,2.1,1.2,2.3,0.158,0.371,-0.078,12.6,2.0898989914268786,1.555444484916951,1.9901902024041707,0.9707964194947029,0.19083191279802147,1.928919128039619,65.52363584178448
12,1630175,Anthony,Cole,1610612749,Milwaukee,Bucks,MIL,50,G,6-2,185,10,20.1,4.4,9.2,0.478,1.0,3.1,0.323,0.7,1.3,0.538,3.5,5.0,2.1,0.7,0.5,10.5,0.1,23.7,111.1,110.6,0.5,0.347,2.38,0.028,0.126,0.537,0.236,0.103,23.8,6.8,3.9,2.9,0.0,0.0,1.3,0.2,0.206,0.294,-0.016,9.7,-0.06697303453963283,1.5203863777756195,-0.3767267250406897,0.10774374322183106,-0.010502546523791012,0.09315829099462533,53.932161801892356
